iter	Passed	Remaining
0	1	191
1	3	178
2	5	168
3	6	156
4	8	153
5	10	159
6	11	156
7	13	154
8	15	152
9	16	150
10	18	150
11	20	148
12	21	146
13	23	144
14	25	142
15	26	140
16	28	138
17	30	136
18	31	135
19	33	134
20	35	132
21	36	130
22	38	128
23	39	126
24	41	124
25	43	123
26	44	121
27	46	119
28	48	118
29	50	117
30	52	115
31	53	113
32	55	112
33	56	110
34	58	108
35	60	106
36	62	106
37	64	104
38	66	103
39	67	101
40	69	99
41	69	96
42	71	94
43	72	92
44	74	91
45	76	89
46	77	87
47	79	86
48	81	84
49	82	82
50	84	81
51	86	79
52	87	78
53	89	76
54	90	74
55	92	72
56	94	71
57	95	69
58	97	67
59	99	66
60	100	64
61	102	62
62	103	60
63	105	59
64	107	57
65	109	56
66	111	54
67	112	53
68	114	51
69	116	49
70	117	48
71	119	46
72	121	44
73	123	43
74	124	41
75	126	39
76	128	38
77	129	36
78	131	34
79	132	33
80	134	31
81	135	29
82	137	28
83	139	26
84	140	24
85	141	23
86	142	21
87	143	19
88	144	17
89	145	16
90	147	14
91	148	12
92	149	11
93	149	9
94	150	7
95	151	6
96	152	4
97	153	3
98	154	1
99	154	0
